"","Protein_name","Airradians.TranscriptID","baseMeanNAIVE_control","baseMeanHABITUATED_control","baseMeanNAIVE_response","baseMeanHABITUATED_response","ControlRatio","ResponseRatio","Frontloaded_criteria","Cvirginica_TranscriptID","moduleColor","Cvirginica_ProteinID","Cvirginica_GeneID","Cvirginica_KEGGID"
"106","fructose-bisphosphate aldolase-like","rna-XM_069278503.1",12.7491876669819,12.9342077240738,12.9012152777128,13.0680231356282,1.01451230164029,0.998439961735955,"costly activation","XM_022484842.1","brown","fructose-bisphosphate aldolase-like","LOC111135106","cvn:111135106"
"107","G2/M phase-specific E3 ubiquitin-protein ligase-like","rna-XM_069263588.1",11.234008877881,11.3392077918022,11.2895498011628,11.2638159094241,1.00936432533254,0.98846425555815,"costly activation","XM_022462403.1","brown","G2/M phase-specific E3 ubiquitin-protein ligase-like","LOC111121232","cvn:111121232"
"108","galactoside 2-alpha-L-fucosyltransferase 1-like","rna-XM_069246269.1",11.4523527892986,11.5299637543526,11.5526173497921,11.5845307433615,1.00677685768872,0.996012602716337,"costly activation","XM_022453261.1","brown","galactoside 2-alpha-L-fucosyltransferase 1-like","LOC111114790","cvn:111114790"
"109","galectin-4-like","rna-XM_069260728.1",12.0441141774188,12.2831225702713,12.101501637568,12.2362885445161,1.0198444144029,0.991463028342689,"costly activation","XM_022477874.1","brown","galectin-4-like","LOC111130682","cvn:111130682"
"110","gamma-tubulin complex component 2-like","rna-XM_069276243.1",11.6312253442972,11.8094897520622,11.6677753580368,11.8121781132463,1.01532636523566,0.997094370403642,"costly activation","XM_022433079.1","red","gamma-tubulin complex component 2-like","LOC111100906","cvn:111100906"
"111","gelsolin-like protein 2","rna-XR_011210337.1",11.0699442854019,12.5389621385193,11.6380914798844,11.9015021721702,1.13270327431139,0.90282558441466,"costly activation","XM_022443746.1","brown","gelsolin-like protein 2","LOC111108138","cvn:111108138"
"112","glutamate dehydrogenase, mitochondrial-like","rna-XM_069268252.1",12.946280214821,13.0099363352301,13.1426289570658,13.0504095451777,1.00491694288651,0.988124631414091,"costly activation","XM_022458956.1","brown","glutamate dehydrogenase, mitochondrial-like","LOC111119107","cvn:111119107"
"113","glutamine synthetase-like","rna-XM_069263433.1",13.2231719337378,13.374954630085,13.1774417218408,13.2269467668468,1.01147853912116,0.99236589171371,"costly activation","XM_022471177.1","brown","glutamine synthetase-like","LOC111126492","cvn:111126492"
"114","glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial-like","rna-XM_069280246.1",11.4056406927339,11.4499125926414,11.4378228174578,11.4603346171786,1.00388157939568,0.998094008096443,"costly activation","XM_022489470.1","red","glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial-like","LOC111137813","cvn:111137813"
"115","glycoprotein 3-alpha-L-fucosyltransferase A-like","rna-XM_069250254.1",11.6475539196997,11.6998085193345,11.6763353642716,11.7087442351107,1.00448631532381,0.998296928139884,"costly activation","XM_022456577.1","brown","glycoprotein 3-alpha-L-fucosyltransferase A-like","LOC111117450","cvn:111117450"
"116","glycoprotein 3-alpha-L-fucosyltransferase A-like","rna-XM_069283467.1",11.3419313890505,11.4710001447598,11.4241395367522,11.4540046155309,1.01137978632404,0.991333049874786,"costly activation","XM_022436215.1","brown","glycoprotein 3-alpha-L-fucosyltransferase A-like","LOC111103157","cvn:111103157"
"117","glyoxylate reductase/hydroxypyruvate reductase-like","rna-XM_069255345.1",11.772808427708,12.1069589250636,11.7137665802331,11.9782830434885,1.02838324427068,0.994358552734383,"costly activation","XM_022479878.1","brown","glyoxylate reductase/hydroxypyruvate reductase-like","LOC111132145","cvn:111132145"
"118","glypican-6-like","rna-XM_069248400.1",12.0880104188814,12.2320433730487,12.1297475948172,12.1771469480898,1.01191535655382,0.9920866290207,"costly activation","XM_022480934.1","brown","glypican-6-like","LOC111132965","cvn:111132965"
"119","growth arrest and DNA damage-inducible protein GADD45 beta-like","rna-XM_069271307.1",11.5565417300174,11.8189270796453,11.5665384862481,11.6760765940719,1.02270448684024,0.987059577181777,"costly activation","XM_022457933.1","brown","growth arrest and DNA damage-inducible protein GADD45 beta-like","LOC111118444","cvn:111118444"
"120","GTP-binding protein Rheb homolog","rna-XM_069263641.1",11.9638776940071,12.0394666497771,11.9843754414452,11.9858637508246,1.00631809833762,0.993844977181306,"costly activation","XM_022482989.1","brown","GTP-binding protein Rheb homolog","LOC111134153","cvn:111134153"
"121","guanine nucleotide-binding protein G(o) subunit alpha-like","rna-XM_069268955.1",11.972530374359,12.0467276874315,12.0685276643028,12.0467000869668,1.00619729587251,0.992043377362615,"costly activation","XM_022462280.1","brown","guanine nucleotide-binding protein G(o) subunit alpha-like","LOC111121139","cvn:111121139"
"122","helix-loop-helix protein delilah-like","rna-XM_069260328.1",12.0525883979263,12.1998210752971,12.1457989031513,12.2731109932996,1.0122158554254,0.998287055336767,"costly activation","XM_022478802.1","brown","helix-loop-helix protein delilah-like","LOC111131330","cvn:111131330"
"123","hemicentin-1-like","rna-XM_069263233.1",12.4756624318888,12.6006418844722,12.4614550900435,12.5508233068755,1.0100178610367,0.997181941435336,"costly activation","XM_022468968.1","brown","hemicentin-1-like","LOC111125320","cvn:111125320"
"124","heparanase-like","rna-XM_069283475.1",11.4740676196703,11.4788862152599,11.4335508385269,11.3866983363862,1.00041995530699,0.995484132626667,"costly activation","XM_022481853.1","brown","heparanase-like","LOC111133429","cvn:111133429"
"125","hepatic leukemia factor-like","rna-XM_069286292.1",12.007743243329,12.0350479313262,12.0310245491442,12.0306618165593,1.00227392337126,0.997701154260954,"costly activation","XM_022490433.1","brown","hepatic leukemia factor-like","LOC111138458","cvn:111138458"
"126","hepatocyte nuclear factor 4-gamma-like","rna-XM_069257763.1",11.375332936205,11.4360403584008,11.5136765730313,11.471160699353,1.00533676003474,0.991018530953404,"costly activation","XM_022489044.1","brown","hepatocyte nuclear factor 4-gamma-like","LOC111137553","cvn:111137553"
"127","heterogeneous nuclear ribonucleoprotein R-like","rna-XM_069273691.1",13.3092268844795,13.3909179772049,13.3205016865547,13.3813322907551,1.00613792923018,0.998438346266597,"costly activation","XM_022439872.1","brown","heterogeneous nuclear ribonucleoprotein R-like","LOC111105526","cvn:111105526"
"128","heterogeneous nuclear ribonucleoprotein R-like","rna-XM_069273709.1",13.1293926337598,13.2614024107957,13.2273781707001,13.232160498644,1.01005452275808,0.990403513022691,"costly activation","XM_022439872.1","brown","heterogeneous nuclear ribonucleoprotein R-like","LOC111105526","cvn:111105526"
"129","high affinity copper uptake protein 1-like","rna-XM_069263543.1",11.2199949044265,11.3215646581935,11.410959845523,11.3830247718356,1.00905256683557,0.988602518140991,"costly activation","XM_022470321.1","brown","high affinity copper uptake protein 1-like","LOC111125988","cvn:111125988"
"130","homeobox protein caupolican-like","rna-XM_069257739.1",11.5457763112462,11.6491848675659,11.529031429369,11.5753915548619,1.00895639700026,0.995108576474721,"costly activation","XM_022479981.1","brown","homeobox protein caupolican-like","LOC111132203","cvn:111132203"
"131","homeobox protein six1-like","rna-XM_069259914.1",11.9273531210974,12.2265676576674,12.0298516881725,12.0979575803484,1.0250864155301,0.981050370223739,"costly activation","XM_022475776.1","brown","homeobox protein six1-like","LOC111129405","cvn:111129405"
"132","homeobox protein TGIF2-like","rna-XM_069270762.1",11.7929357198593,11.8691355426298,11.818498344429,11.8144696428421,1.0064614803795,0.993241309760412,"costly activation","XM_022459414.1","brown","homeobox protein TGIF2-like","LOC111119346","cvn:111119346"
"133","INO80 complex subunit B-like","rna-XM_069278802.1",11.6361819730043,11.6964009267874,11.6406123786204,11.6323882657221,1.00517514713356,0.994148632812725,"costly activation","XM_022482353.1","brown","INO80 complex subunit B-like","LOC111133731","cvn:111133731"
"134","inositol-trisphosphate 3-kinase homolog","rna-XM_069251920.1",11.4982694633376,11.6225571420567,11.3782160083754,11.4038664155311,1.01080925082817,0.991536575932748,"costly activation","XM_022468571.1","brown","inositol-trisphosphate 3-kinase homolog","LOC111125100","cvn:111125100"
"135","integrator complex subunit 3 homolog","rna-XM_069268020.1",11.2210381898669,11.3172568468771,11.3300199872254,11.2666429057367,1.00857484444685,0.985951885177108,"costly activation","XM_022457595.1","brown","integrator complex subunit 3 homolog","LOC111118244","cvn:111118244"
"136","interferon regulatory factor 1-like","rna-XM_069268845.1",11.8277627786221,12.1870377791364,12.1017223453075,12.2339368193188,1.03037556698074,0.981123090744818,"costly activation","XM_022457392.1","brown","interferon regulatory factor 1-like","LOC111118092","cvn:111118092"
"137","interferon regulatory factor 1-like","rna-XM_069268849.1",12.8285121592605,13.1779014680403,12.9856064064142,13.3017306563479,1.02723537261705,0.99718548561635,"costly activation","XM_022457392.1","brown","interferon regulatory factor 1-like","LOC111118092","cvn:111118092"
"138","interleukin-1 receptor-associated kinase 1-binding protein 1-like","rna-XM_069281787.1",11.3950956420445,11.4874243046119,11.4724184350552,11.4347722957008,1.0081024912355,0.988707558126842,"costly activation","XM_022437805.1","brown","interleukin-1 receptor-associated kinase 1-binding protein 1-like","LOC111104074","cvn:111104074"
"139","interleukin-17 receptor D-like","rna-XM_069284677.1",11.7673914418374,11.8496852842038,11.8071788123416,11.8709727611435,1.00699338020436,0.998420644643687,"costly activation","XM_022442514.1","brown","interleukin-17 receptor D-like","LOC111107347","cvn:111107347"
"140","inverted formin-2-like","rna-XM_069274822.1",11.5053952839029,11.6882876407574,11.5781475217186,11.7508563517842,1.01589622540917,0.999035893262716,"costly activation","XM_022471049.1","brown","inverted formin-2-like","LOC111126416","cvn:111126416"
"141","KAT8 regulatory NSL complex subunit 2-like","rna-XM_069265483.1",11.5327606621662,11.5905060013512,11.5527958646025,11.5704846383319,1.00500706993551,0.996541372581247,"costly activation","XM_022458446.1","brown","KAT8 regulatory NSL complex subunit 2-like","LOC111118811","cvn:111118811"
"142","Krueppel-like factor 5","rna-XM_069275209.1",12.6384147386533,13.0966792158474,12.8571282543059,13.0661016188005,1.03625964859284,0.980693886658115,"costly activation","XM_022468067.1","brown","Krueppel-like factor 5","LOC111124848","cvn:111124848"
"143","lamin-B receptor-like","rna-XM_069262277.1",11.5692689739748,11.5902566964029,11.5634218298822,11.5459921550232,1.00181409235755,0.996684610896961,"costly activation","XM_022473448.1","brown","lamin-B receptor-like","LOC111128051","cvn:111128051"
"144","leukotriene A-4 hydrolase-like","rna-XM_069285183.1",11.9355175759862,12.1095662773528,12.1610005451413,12.1426293008874,1.01458241758336,0.984138216750974,"costly activation","XM_022441433.1","red","leukotriene A-4 hydrolase-like","LOC111106667","cvn:111106667"
"145","LIM and SH3 domain protein 1-like","rna-XM_069265454.1",11.907731230267,12.1645012337262,12.0944456927751,12.0855623619823,1.02156330189974,0.978172866442399,"costly activation","XM_022463128.1","brown","LIM and SH3 domain protein 1-like","LOC111121733","cvn:111121733"
"146","lipoyl synthase, mitochondrial-like","rna-XM_069275017.1",11.4630074038892,11.5428172994557,11.5528245030189,11.5765646171858,1.00696238716023,0.995126462910277,"costly activation","XM_022468744.1","red","lipoyl synthase, mitochondrial-like","LOC111125202","cvn:111125202"
"147","lipoyl synthase, mitochondrial-like","rna-XM_069278219.1",11.2887056411474,11.3714640801756,11.3446007267061,11.3456917565249,1.00733108308951,0.992817742362771,"costly activation","XM_022468744.1","brown","lipoyl synthase, mitochondrial-like","LOC111125202","cvn:111125202"
"148","long-chain-fatty-acid--CoA ligase 5-like","rna-XM_069267837.1",11.2147874204724,11.786510341838,11.5840499882808,11.6521512067196,1.05097938105558,0.957087166777824,"costly activation","XM_022463983.1","brown","long-chain-fatty-acid--CoA ligase 5-like","LOC111122309","cvn:111122309"
"149","low density lipoprotein receptor adapter protein 1-B-like","rna-XM_069274663.1",11.4884803307744,11.6455541131887,11.5147242388501,11.5798730043547,1.01367228544524,0.992093677936905,"costly activation","XM_022438457.1","brown","low density lipoprotein receptor adapter protein 1-B-like","LOC111104479","cvn:111104479"
"150","malonyl-CoA decarboxylase, mitochondrial-like","rna-XM_069271528.1",11.6861363313392,11.9098804861359,11.8676540606563,11.8695848154877,1.01914611882429,0.981373202574314,"costly activation","XM_022437927.1","brown","malonyl-CoA decarboxylase, mitochondrial-like","LOC111104136","cvn:111104136"
"151","matrix metalloproteinase-24-like","rna-XM_069249333.1",11.9052915518146,12.0357019864812,11.9099766126562,12.0172276756451,1.01095398916515,0.998072271866267,"costly activation","XM_022431130.1","brown","matrix metalloproteinase-24-like","LOC111099717","cvn:111099717"
"152","max-like protein X","rna-XM_069281703.1",11.6035678855037,11.6989274468784,11.7363374826278,11.8093993829229,1.00821812414213,0.99802339247583,"costly activation","XM_022453526.1","red","max-like protein X","LOC111114981","cvn:111114981"
"153","mediator of RNA polymerase II transcription subunit 26-like","rna-XM_069271419.1",11.9545131977087,12.0474491453448,11.9781200834415,12.039053195383,1.00777413066505,0.997333632675862,"costly activation","XM_022460018.1","brown","mediator of RNA polymerase II transcription subunit 26-like","LOC111119637","cvn:111119637"
"154","mediator of RNA polymerase II transcription subunit 4-like","rna-XM_069249350.1",11.5417018280287,11.629664563374,11.5434882456252,11.5978209707808,1.00762129681186,0.997107533214633,"costly activation","XM_022432667.1","brown","mediator of RNA polymerase II transcription subunit 4-like","LOC111100610","cvn:111100610"
"155","mitochondrial inner membrane protein OXA1L-like","rna-XM_069257651.1",11.5403684288837,11.5564669273972,11.5599369318791,11.5577087718788,1.00139497266597,0.998414490619825,"costly activation","XM_022480669.1","brown","mitochondrial inner membrane protein OXA1L-like","LOC111132820","cvn:111132820"
"156","mitogen-activated protein kinase kinase kinase kinase 3-like","rna-XM_069260530.1",12.0205995418108,12.0852562493324,12.0416592499031,12.0795291530091,1.00537882551504,0.997778033440658,"costly activation","XM_022477745.1","brown","mitogen-activated protein kinase kinase kinase kinase 3-like","LOC111130581","cvn:111130581"
"157","mRNA decay activator protein ZFP36L1-like","rna-XM_069261828.1",13.1334520625236,13.5554870534345,13.2489383160831,13.4712461971132,1.032134353474,0.98512300684426,"costly activation","XM_022475973.1","brown","mRNA decay activator protein ZFP36L1-like","LOC111129521","cvn:111129521"
"158","mucosa-associated lymphoid tissue lymphoma translocation protein 1-like","rna-XM_069282023.1",12.0009837074742,12.1271614664243,12.0987663099564,12.1154467202339,1.01051395135813,0.990959783906025,"costly activation","XM_022476587.1","brown","mucosa-associated lymphoid tissue lymphoma translocation protein 1-like","LOC111130001","cvn:111130001"
"159","multifunctional protein ADE2-like","rna-XM_069274044.1",11.4982372727613,11.6224672823239,11.5927759412005,11.6145519664647,1.01080426561182,0.991169554234588,"costly activation","XM_022472692.1","brown","multifunctional protein ADE2-like","LOC111127492","cvn:111127492"
"160","myosin-VIIa-like","rna-XM_069249352.1",11.5624587948552,11.7149987041113,11.8936786399353,11.8247696896778,1.01319268781515,0.981260787006182,"costly activation","XM_022490299.1","brown","myosin-VIIa-like","LOC111138369","cvn:111138369"
"161","myotubularin-related protein 14-like","rna-XM_069285519.1",11.564133157528,11.656626761154,11.4750288232796,11.551907313575,1.00799831706934,0.998711621532192,"costly activation","XM_022444731.1","brown","myotubularin-related protein 14-like","LOC111108697","cvn:111108697"
"162",NA,"gene-LOC138305530",11.2937251234943,11.5637346383165,11.46375757168,11.5711416689628,1.0239079233707,0.98579886495993,"costly activation",NA,"brown",NA,NA,NA
"163",NA,"gene-LOC138306380",11.3508524371746,11.8124383849776,11.8369002405428,11.7781879617888,1.04066531129338,0.95615745360102,"costly activation",NA,"brown",NA,NA,NA
"164",NA,"gene-LOC138306793",11.7642483253304,11.8725356011909,11.8570411524608,11.8634145873239,1.0092047764435,0.991411799238074,"costly activation",NA,"brown",NA,NA,NA
"165",NA,"gene-LOC138307678",11.5025779490587,11.5487932671788,11.5906465075494,11.627476715495,1.00401782264156,0.99916311991637,"costly activation",NA,"brown",NA,NA,NA
"166",NA,"gene-LOC138311063",11.5339663862769,11.6445450550955,11.5919581092665,11.6879322112605,1.00958721961859,0.998704569251636,"costly activation",NA,"brown",NA,NA,NA
"167",NA,"gene-LOC138312640",11.1895040931392,11.350947501969,11.339761350147,11.4269439551768,1.01442811115542,0.993355971828174,"costly activation",NA,"brown",NA,NA,NA
"168",NA,"gene-LOC138318605",11.2406065198446,11.4427905530912,11.3699937224036,11.4209352900397,1.01798693272375,0.98673206810488,"costly activation",NA,"brown",NA,NA,NA
"169",NA,"gene-LOC138321737",11.3264228196127,11.4132744337835,11.3344570482539,11.3892456629527,1.00766805332575,0.997187324672251,"costly activation",NA,"brown",NA,NA,NA
"170",NA,"gene-LOC138325499",11.6698025923529,11.8324965137804,11.7360685052362,11.8583459844493,1.01394144589336,0.996525934892913,"costly activation",NA,"brown",NA,NA,NA
"171",NA,"gene-LOC138328195",12.2135987913815,12.4503247659174,11.9153091161468,12.1186416303806,1.01938216397798,0.997726709664319,"costly activation",NA,"brown",NA,NA,NA
"172",NA,"gene-LOC138336790",12.7927300299147,12.937909520129,12.8823904633129,12.7944793724409,1.01134859329282,0.982031198596256,"costly activation",NA,"brown",NA,NA,NA
"173",NA,"rna-XM_069245131.1",12.1428729477691,12.2880461974652,12.2090894845288,12.1836931076552,1.01195542853166,0.986130269576,"costly activation","XM_022436400.1","brown",NA,NA,NA
"174",NA,"rna-XM_069245294.1",11.6569250674167,11.6610640872216,11.7014287816629,11.701704219288,1.00035506960721,0.999668586870367,"costly activation","XM_022441250.1","brown",NA,NA,NA
"175",NA,"rna-XM_069245303.1",11.6669782826686,11.7024247789675,11.7659128721647,11.7780622636347,1.00303818996145,0.998000477305362,"costly activation",NA,"brown",NA,NA,NA
"176",NA,"rna-XM_069245472.1",11.2335286224133,11.3594524795994,11.3402359671179,11.4141701299677,1.0112096440414,0.995361978314791,"costly activation","XM_022440100.1","brown",NA,NA,NA
"177",NA,"rna-XM_069245580.1",12.2106047183212,12.2608946141951,12.3237853580417,12.2918801032373,1.00411854261391,0.993320052247627,"costly activation","XM_022444280.1","brown",NA,NA,NA
"178",NA,"rna-XM_069245978.1",11.9855624689676,12.060397773607,11.98835326382,12.0396264137863,1.00624378745955,0.998045330584968,"costly activation","XM_022437591.1","brown",NA,NA,NA
"179",NA,"rna-XM_069246150.1",12.1354806594539,12.2991561964747,12.332289990853,12.2815410737158,1.01348735510474,0.982631771179324,"costly activation","XM_022449488.1","brown",NA,NA,NA
"180",NA,"rna-XM_069246814.1",12.0342908275607,12.2414934254786,12.1552733879862,12.1900012633137,1.01721768244485,0.98588241104747,"costly activation",NA,"brown",NA,NA,NA
"181",NA,"rna-XM_069246878.1",11.4907096933907,11.5306027635633,11.4612779164875,11.4680576041234,1.00347176730046,0.997129727435622,"costly activation",NA,"brown",NA,NA,NA
"182",NA,"rna-XM_069246900.1",11.2012341713007,11.4904806317626,11.4526605574217,11.6322832492516,1.02582273132035,0.990116416767017,"costly activation","XM_022437577.1","red",NA,NA,NA
"183",NA,"rna-XM_069247378.1",11.881233976089,12.105335916236,12.4109914463758,12.3445283049726,1.01886184049552,0.976231297101312,"costly activation",NA,"brown",NA,NA,NA
"184",NA,"rna-XM_069247445.1",12.0325860084695,12.1632374889812,12.0253180731836,12.0745120738278,1.01085813809432,0.993305421540092,"costly activation","XM_022480617.1","brown",NA,NA,NA
"185",NA,"rna-XM_069247899.1",11.3045523592082,11.3167512354606,11.3132087718676,11.206692261974,1.00107911183608,0.989516966351448,"costly activation",NA,"brown",NA,NA,NA
"186",NA,"rna-XM_069248022.1",11.3343167986497,11.4008827250434,11.460546221416,11.4561252392057,1.00587295446001,0.993777831377413,"costly activation",NA,"brown",NA,NA,NA
"187",NA,"rna-XM_069248461.1",11.3697602394459,11.6722839912724,11.7162834232553,11.7929787898943,1.0266077512151,0.980458259657152,"costly activation","XM_022438609.1","brown",NA,NA,NA
"188",NA,"rna-XM_069248719.1",11.2917434711886,11.5636202563295,11.4777663578843,11.6635705803442,1.02407748509649,0.992296189783974,"costly activation","XM_022485196.1","brown",NA,NA,NA
"189",NA,"rna-XM_069249051.1",12.0535142705322,12.2011075026402,12.1260570050027,12.1878691888425,1.01224482991394,0.992939097332367,"costly activation",NA,"brown",NA,NA,NA
"190",NA,"rna-XM_069249319.1",11.8593767012512,11.9556902986171,11.9788999280155,11.9790997370082,1.00812130348771,0.991960666458449,"costly activation","XM_022432922.1","brown",NA,NA,NA
"191",NA,"rna-XM_069249349.1",12.0748040289504,12.2077839097528,12.1995147792599,12.1949436886289,1.01101300530291,0.988736346906006,"costly activation",NA,"brown",NA,NA,NA
"192",NA,"rna-XM_069249541.1",11.4458475032359,11.507356043701,11.4607753994483,11.5095144439696,1.0053738738392,0.998884802077454,"costly activation","XM_022459963.1","red",NA,NA,NA
"193",NA,"rna-XM_069249770.1",11.5108959481949,11.6258285683595,11.5840004547556,11.5913763829197,1.00998468066099,0.990744466985695,"costly activation",NA,"brown",NA,NA,NA
"194",NA,"rna-XM_069250136.1",11.6268763881417,11.6842361454991,11.6388308484209,11.6894935119282,1.00493337638094,0.999422372987608,"costly activation",NA,"red",NA,NA,NA
"195",NA,"rna-XM_069250175.1",11.1519769288034,11.2103249303843,11.2994062481101,11.3256011240542,1.00523207696298,0.997101341467296,"costly activation","XM_022432832.1","brown",NA,NA,NA
"196",NA,"rna-XM_069250342.1",12.0960723845193,12.3210435660655,12.1431839982804,12.2772557111046,1.01859869670044,0.992580204511509,"costly activation","XM_022481812.1","red",NA,NA,NA
"197",NA,"rna-XM_069250454.1",12.1521875152869,12.2048807690669,12.2940127972043,12.2789964926655,1.00433611263105,0.994466449151456,"costly activation",NA,"brown",NA,NA,NA
"198",NA,"rna-XM_069250637.1",11.4742388356438,11.5279803510113,11.4646205872816,11.5053595599501,1.00468366713795,0.998875053190105,"costly activation","XM_022445519.1","brown",NA,NA,NA
"199",NA,"rna-XM_069251553.1",12.25770916612,12.3713747764236,12.2779064861007,12.3680848039253,1.00927298965599,0.998089489855247,"costly activation","XM_022468647.1","brown",NA,NA,NA
"200",NA,"rna-XM_069252515.1",11.829556841291,12.0344904670756,11.8639061920999,12.0619927993714,1.01732386331407,0.999383394330833,"costly activation","XM_022469612.1","brown",NA,NA,NA
"201",NA,"rna-XM_069252520.1",12.2289356558806,12.3508335262351,12.3058132466463,12.3821578701792,1.00996798689474,0.99627311053241,"costly activation","XM_022469632.1","brown",NA,NA,NA
"202",NA,"rna-XM_069252999.1",11.4099244527475,11.570137135322,11.5008597807325,11.6090578178223,1.01404152001514,0.99543046480699,"costly activation","XM_022446714.1","brown",NA,NA,NA
"203",NA,"rna-XM_069253365.1",11.2445475841394,11.4711198788432,11.4799728061085,11.4464608527316,1.02014952518173,0.977386950413592,"costly activation",NA,"brown",NA,NA,NA
"204",NA,"rna-XM_069253544.1",11.374327296657,11.470766377437,11.4105852812602,11.4685729744243,1.00847866236523,0.996631816344383,"costly activation","XR_002636663.1","brown",NA,NA,NA
"205",NA,"rna-XM_069253774.1",11.3370081587105,11.4970100322386,11.4962793009351,11.4184521105947,1.0141132361632,0.979407616947634,"costly activation","XM_022434498.1","brown",NA,NA,NA
"206",NA,"rna-XM_069254126.1",11.3372258458643,11.5491640869951,11.3175577332424,11.4551263247877,1.01869401245175,0.993581303657335,"costly activation",NA,"brown",NA,NA,NA
"207",NA,"rna-XM_069254417.1",13.1892029782285,13.2764808816285,13.2276706145717,13.3122269073405,1.00661737510174,0.999776483663543,"costly activation",NA,"brown",NA,NA,NA
"208",NA,"rna-XM_069254442.1",11.732691762905,11.7495556018216,11.7918206177217,11.7582303153068,1.00143733759118,0.995720203557735,"costly activation",NA,"brown",NA,NA,NA
"209",NA,"rna-XM_069254561.1",11.7033058044579,11.7829725054508,11.8595918690028,11.8698714236506,1.00680719638741,0.994099739212783,"costly activation","XM_022488929.1","brown",NA,NA,NA
"210",NA,"rna-XM_069255073.1",12.1282268186497,12.1802252744317,12.2212461239,12.175629223793,1.00428739143484,0.992014256651562,"costly activation","XM_022451736.1","red",NA,NA,NA
"211",NA,"rna-XM_069255175.1",11.429824423235,11.5406332064005,11.4843089221603,11.4732350410843,1.00969470562822,0.989443375875627,"costly activation","XM_022466078.1","brown",NA,NA,NA
"212",NA,"rna-XM_069255193.1",11.2743147435074,11.4186046442864,11.2765296800506,11.3301077874223,1.01279810827191,0.992054868344418,"costly activation","XM_022448101.1","brown",NA,NA,NA
"213",NA,"rna-XM_069255216.1",11.3815981772245,11.4126309914962,11.4311917309855,11.4356034869238,1.0027265779189,0.997665726816423,"costly activation","XM_022451346.1","brown",NA,NA,NA
"214",NA,"rna-XM_069255305.1",11.5272314078309,11.5868236620224,11.5477030774379,11.5968572146314,1.00516969357889,0.999091618433099,"costly activation","XM_022465424.1","brown",NA,NA,NA
"215",NA,"rna-XM_069255430.1",11.3875023028578,11.4301668668028,11.4062913266404,11.4135906545754,1.00374661298064,0.996904921839997,"costly activation","XM_022450491.1","red",NA,NA,NA
"216",NA,"rna-XM_069255574.1",11.2631424002961,11.4051978566485,11.2749967305408,11.4039839466641,1.01261241768094,0.998842294956114,"costly activation","XM_022452868.1","red",NA,NA,NA
"217",NA,"rna-XM_069255594.1",11.5387444107724,11.576115386637,11.5648911618855,11.5745796887599,1.00323873850865,0.997606765949154,"costly activation","XM_022450109.1","red",NA,NA,NA
"218",NA,"rna-XM_069255693.1",11.4393116633263,11.4805742077323,11.4519895386618,11.452798565406,1.00360708280536,0.99647627265332,"costly activation",NA,"brown",NA,NA,NA
"219",NA,"rna-XM_069255773.1",11.8300902733338,11.9315211973897,11.8552113635172,11.9137470957302,1.00857397718127,0.996394489198755,"costly activation","XM_022447661.1","brown",NA,NA,NA
"220",NA,"rna-XM_069255834.1",12.1034112284422,12.1129363626938,12.1632401749995,12.1587930487453,1.00078697931285,0.99884830685005,"costly activation",NA,"brown",NA,NA,NA
"221",NA,"rna-XM_069255954.1",11.6639733075312,11.7150430599346,11.6730999438953,11.706402241188,1.00437841814765,0.998481141512926,"costly activation","XM_022487256.1","brown",NA,NA,NA
"222",NA,"rna-XM_069256055.1",11.2306735730049,11.3787473230825,11.5752689193512,11.4613962869797,1.01318476128035,0.977277252858381,"costly activation",NA,"brown",NA,NA,NA
"223",NA,"rna-XM_069256401.1",11.6002070765707,11.7760777248618,11.5877316384818,11.754655269813,1.01516099213834,0.999255498652327,"costly activation","XM_022475745.1","red",NA,NA,NA
"224",NA,"rna-XM_069256536.1",11.5234947316077,11.6377787680207,11.5949947209768,11.6742140107885,1.00991748068401,0.996945014221944,"costly activation","XM_022486110.1","brown",NA,NA,NA
"225",NA,"rna-XM_069256551.1",11.2753994381879,11.3669527959731,11.269713107283,11.3401644332158,1.00811974407533,0.998146690253625,"costly activation",NA,"brown",NA,NA,NA
"226",NA,"rna-XM_069256577.1",11.2428362674522,11.390678578475,11.4140541427952,11.3303535525252,1.01314991230912,0.979782825135756,"costly activation","XM_022479419.1","brown",NA,NA,NA
"227",NA,"rna-XM_069256929.1",11.5347935335106,11.6477826751112,11.5772594827516,11.6863364051791,1.00979550620237,0.999629773431163,"costly activation",NA,"brown",NA,NA,NA
"228",NA,"rna-XM_069256942.1",11.4905062705953,11.5319472402196,11.5094887144943,11.536080950384,1.00360653992508,0.998708579597273,"costly activation","XM_022488109.1","red",NA,NA,NA
"229",NA,"rna-XM_069256953.1",11.9221085020383,11.9617508110836,11.9437013664335,11.9476629500498,1.00332510889652,0.997016499667233,"costly activation","XM_022430568.1","red",NA,NA,NA
"230",NA,"rna-XM_069257006.1",12.3937717576571,12.504285273601,12.3811450005278,12.395461027008,1.0089168590567,0.992308005828628,"costly activation","XM_022467259.1","brown",NA,NA,NA
"231",NA,"rna-XM_069257346.1",11.4294539890435,11.8025321973967,11.6222999746082,11.605837812322,1.03264182249745,0.967018330347267,"costly activation",NA,"brown",NA,NA,NA
