"","Cvirginica_TranscriptID","moduleColor","Airradians_TranscriptID","Protein_name","Cvirginica_ProteinID","Cvirginica_GeneID","Cvirginica_KEGGID"
"8077","XM_022441581.1",NA,NA,NA,"kelch-like protein 3","LOC111106770","cvn:111106770"
"8078","XM_022441582.1",NA,NA,NA,"serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B-like","LOC111106771","cvn:111106771"
"8079","XM_022441583.1",NA,NA,NA,"serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B-like","LOC111106771","cvn:111106771"
"8080","XM_022441584.1",NA,NA,NA,"serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B-like","LOC111106771","cvn:111106771"
"8081","XM_022441585.1",NA,NA,NA,"serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B-like","LOC111106771","cvn:111106771"
"8082","XM_022441586.1",NA,NA,NA,"serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B-like","LOC111106771","cvn:111106771"
"8083","XM_022441590.1",NA,NA,NA,"hypermethylated in cancer 2 protein-like","LOC111105807","cvn:111105807"
"8084","XM_022441591.1",NA,NA,NA,"zinc finger protein 768-like","LOC111106772","cvn:111106772"
"8085","XM_022441592.1",NA,NA,NA,"uncharacterized","LOC111106775","cvn:111106775"
"8086","XM_022441593.1",NA,NA,NA,"uncharacterized","LOC111106775","cvn:111106775"
"8087","XM_022441596.1",NA,NA,NA,"alpha-L-fucosidase-like","LOC111106777","cvn:111106777"
"8088","XM_022441601.1",NA,NA,NA,"amidase-like","LOC111106780","cvn:111106780"
"8089","XM_022441602.1",NA,NA,NA,"amidase-like","LOC111106781","cvn:111106781"
"8090","XM_022441603.1",NA,NA,NA,"amidase-like","LOC111106782","cvn:111106782"
"8091","XM_022441604.1",NA,NA,NA,"amidase-like","LOC111106783","cvn:111106783"
"8092","XM_022441605.1",NA,NA,NA,"uncharacterized","LOC111106784","cvn:111106784"
"8093","XM_022441607.1",NA,NA,NA,"THAP domain-containing protein 10-like","LOC111106786","cvn:111106786"
"8094","XM_022441609.1",NA,NA,NA,"uncharacterized","LOC111106789","cvn:111106789"
"8095","XM_022441610.1",NA,NA,NA,"uncharacterized","LOC111106790","cvn:111106790"
"8096","XM_022441611.1",NA,NA,NA,"uncharacterized","LOC111106790","cvn:111106790"
"8097","XM_022441613.1",NA,NA,NA,"G-protein coupled receptor 157-like","LOC111106788","cvn:111106788"
"8098","XM_022441614.1",NA,NA,NA,"uncharacterized","LOC111106792","cvn:111106792"
"8099","XM_022441617.1",NA,NA,NA,"thymidine kinase 2, mitochondrial-like","LOC111106799","cvn:111106799"
"8100","XM_022441618.1",NA,NA,NA,"PX domain-containing protein kinase-like protein","LOC111106800","cvn:111106800"
"8101","XM_022441618.1",NA,NA,NA,"PX domain-containing protein kinase-like protein","LOC111106800","cvn:111106800"
"8102","XM_022441619.1",NA,NA,NA,"PX domain-containing protein kinase-like protein","LOC111106800","cvn:111106800"
"8103","XM_022441619.1",NA,NA,NA,"PX domain-containing protein kinase-like protein","LOC111106800","cvn:111106800"
"8104","XM_022441621.1",NA,NA,NA,"PX domain-containing protein kinase-like protein","LOC111106800","cvn:111106800"
"8105","XM_022441621.1",NA,NA,NA,"PX domain-containing protein kinase-like protein","LOC111106800","cvn:111106800"
"8106","XM_022441622.1",NA,NA,NA,"PX domain-containing protein kinase-like protein","LOC111106800","cvn:111106800"
"8107","XM_022441622.1",NA,NA,NA,"PX domain-containing protein kinase-like protein","LOC111106800","cvn:111106800"
"8108","XM_022441624.1",NA,NA,NA,"uncharacterized","LOC111106802","cvn:111106802"
"8109","XM_022441625.1",NA,NA,NA,"uncharacterized","LOC111106802","cvn:111106802"
"8110","XM_022441626.1",NA,NA,NA,"uncharacterized","LOC111106803","cvn:111106803"
"8111","XM_022441631.1",NA,NA,NA,"schlafen-like protein 1","LOC111106806","cvn:111106806"
"8112","XM_022441633.1",NA,NA,NA,"26S proteasome non-ATPase regulatory subunit 10-like","LOC111106810","cvn:111106810"
"8113","XM_022441634.1",NA,NA,NA,"uncharacterized","LOC111106811","cvn:111106811"
"8114","XM_022441638.1",NA,NA,NA,"E3 ubiquitin-protein ligase TRIM36-like","LOC111106815","cvn:111106815"
"8115","XM_022441639.1",NA,NA,NA,"sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1-like","LOC111106817","cvn:111106817"
"8116","XM_022441640.1",NA,NA,NA,"exopolyphosphatase PRUNE1-like","LOC111106818","cvn:111106818"
"8117","XM_022441642.1",NA,NA,NA,"exopolyphosphatase PRUNE1-like","LOC111106818","cvn:111106818"
"8118","XM_022441643.1",NA,NA,NA,"exopolyphosphatase PRUNE1-like","LOC111106818","cvn:111106818"
"8119","XM_022441644.1",NA,NA,NA,"cadherin EGF LAG seven-pass G-type receptor 1-like","LOC111106819","cvn:111106819"
"8120","XM_022441645.1",NA,NA,NA,"cadherin EGF LAG seven-pass G-type receptor 1-like","LOC111106819","cvn:111106819"
"8121","XM_022441646.1",NA,NA,NA,"cadherin EGF LAG seven-pass G-type receptor 1-like","LOC111106820","cvn:111106820"
"8122","XM_022441647.1",NA,NA,NA,"E3 ubiquitin/ISG15 ligase TRIM25-like","LOC111106821","cvn:111106821"
"8123","XM_022441652.1",NA,NA,NA,"sulfotransferase 1A3-like","LOC111106823","cvn:111106823"
"8124","XM_022441653.1",NA,NA,NA,"uncharacterized","LOC111106826","cvn:111106826"
"8125","XM_022441654.1",NA,NA,NA,"U6 snRNA-associated Sm-like protein LSm3","LOC111106827","cvn:111106827"
"8126","XM_022441655.1",NA,NA,NA,"uncharacterized","LOC111106828","cvn:111106828"
"8127","XM_022441656.1",NA,NA,NA,"uncharacterized","LOC111106828","cvn:111106828"
"8128","XM_022441657.1",NA,NA,NA,"trichohyalin-like","LOC111106830","cvn:111106830"
"8129","XM_022441658.1",NA,NA,NA,"trichohyalin-like","LOC111106830","cvn:111106830"
"8130","XM_022441659.1",NA,NA,NA,"trichohyalin-like","LOC111106830","cvn:111106830"
"8131","XM_022441660.1",NA,NA,NA,"trichohyalin-like","LOC111106830","cvn:111106830"
"8132","XM_022441661.1",NA,NA,NA,"trichohyalin-like","LOC111106830","cvn:111106830"
"8133","XM_022441662.1",NA,NA,NA,"trichohyalin-like","LOC111106830","cvn:111106830"
"8134","XM_022441663.1",NA,NA,NA,"trichohyalin-like","LOC111106830","cvn:111106830"
"8135","XM_022441664.1",NA,NA,NA,"complement factor B-like","LOC111106832","cvn:111106832"
"8136","XM_022441666.1",NA,NA,NA,"trichohyalin-like","LOC111106830","cvn:111106830"
"8137","XM_022441667.1",NA,NA,NA,"trichohyalin-like","LOC111106830","cvn:111106830"
"8138","XM_022441668.1",NA,NA,NA,"trichohyalin-like","LOC111106830","cvn:111106830"
"8139","XM_022441669.1",NA,NA,NA,"trichohyalin-like","LOC111106830","cvn:111106830"
"8140","XM_022441670.1",NA,NA,NA,"trichohyalin-like","LOC111106830","cvn:111106830"
"8141","XM_022441671.1",NA,NA,NA,"trichohyalin-like","LOC111106830","cvn:111106830"
"8142","XM_022441672.1",NA,NA,NA,"trichohyalin-like","LOC111106830","cvn:111106830"
"8143","XM_022441673.1",NA,NA,NA,"trichohyalin-like","LOC111106830","cvn:111106830"
"8144","XM_022441674.1",NA,NA,NA,"trichohyalin-like","LOC111106830","cvn:111106830"
"8145","XM_022441677.1",NA,NA,NA,"complement C1q tumor necrosis factor-related protein 4-like","LOC111106835","cvn:111106835"
"8146","XM_022441678.1",NA,NA,NA,"retinoid-inducible serine carboxypeptidase-like","LOC111106836","cvn:111106836"
"8147","XM_022441679.1",NA,NA,NA,"galactose-3-O-sulfotransferase 2-like","LOC111106833","cvn:111106833"
"8148","XM_022441685.1",NA,NA,NA,"uncharacterized","LOC111106840","cvn:111106840"
"8149","XM_022441686.1",NA,NA,NA,"integrin beta-like protein D","LOC111106842","cvn:111106842"
"8150","XM_022441687.1",NA,NA,NA,"uncharacterized","LOC111106843","cvn:111106843"
"8151","XM_022441688.1",NA,NA,NA,"uncharacterized","LOC111106843","cvn:111106843"
"8152","XM_022441690.1",NA,NA,NA,"uncharacterized","LOC111106843","cvn:111106843"
"8153","XM_022441691.1",NA,NA,NA,"uncharacterized","LOC111106843","cvn:111106843"
"8154","XM_022441692.1",NA,NA,NA,"uncharacterized","LOC111106844","cvn:111106844"
"8155","XM_022441693.1",NA,NA,NA,"long-chain-fatty-acid--CoA ligase-like","LOC111106845","cvn:111106845"
"8156","XM_022441698.1",NA,NA,NA,"complement C1q-like protein 4","LOC111106852","cvn:111106852"
"8157","XM_022441699.1",NA,NA,NA,"X-ray repair cross-complementing protein 5-like","LOC111104153","cvn:111104153"
"8158","XM_022441700.1",NA,NA,NA,"M-phase inducer phosphatase-like","LOC111106831","cvn:111106831"
"8159","XM_022441701.1",NA,NA,NA,"uncharacterized","LOC111106850","cvn:111106850"
"8160","XM_022441702.1",NA,NA,NA,"uncharacterized","LOC111106854","cvn:111106854"
"8161","XM_022441703.1",NA,NA,NA,"uncharacterized","LOC111106854","cvn:111106854"
"8162","XM_022441704.1",NA,NA,NA,"CD109 antigen-like","LOC111106857","cvn:111106857"
"8163","XM_022441706.1",NA,NA,NA,"serine/threonine-protein kinase Nek4-like","LOC111106859","cvn:111106859"
"8164","XM_022441707.1",NA,NA,NA,"serine/threonine-protein kinase Nek4-like","LOC111106859","cvn:111106859"
"8165","XM_022441708.1",NA,NA,NA,"serine/threonine-protein kinase Nek4-like","LOC111106859","cvn:111106859"
"8166","XM_022441709.1",NA,NA,NA,"serine/threonine-protein kinase Nek4-like","LOC111106859","cvn:111106859"
"8167","XM_022441710.1",NA,NA,NA,"serine/threonine-protein kinase Nek4-like","LOC111106859","cvn:111106859"
"8168","XM_022441717.1",NA,NA,NA,"inosine-5'-monophosphate dehydrogenase 1-like","LOC111106862","cvn:111106862"
"8169","XM_022441718.1",NA,NA,NA,"inosine-5'-monophosphate dehydrogenase 1-like","LOC111106862","cvn:111106862"
"8170","XM_022441719.1",NA,NA,NA,"inosine-5'-monophosphate dehydrogenase 1-like","LOC111106862","cvn:111106862"
"8171","XM_022441720.1",NA,NA,NA,"inosine-5'-monophosphate dehydrogenase 1-like","LOC111106862","cvn:111106862"
"8172","XM_022441721.1",NA,NA,NA,"inosine-5'-monophosphate dehydrogenase 1-like","LOC111106862","cvn:111106862"
"8173","XM_022441722.1",NA,NA,NA,"inosine-5'-monophosphate dehydrogenase 1-like","LOC111106862","cvn:111106862"
"8174","XM_022441723.1",NA,NA,NA,"galactoside 2-alpha-L-fucosyltransferase 2-like","LOC111106863","cvn:111106863"
"8175","XM_022441724.1",NA,NA,NA,"galactoside 2-alpha-L-fucosyltransferase 2-like","LOC111106863","cvn:111106863"
"8176","XM_022441725.1",NA,NA,NA,"PI-PLC X domain-containing protein 3-like","LOC111106866","cvn:111106866"
"8177","XM_022441733.1",NA,NA,NA,"uncharacterized","LOC111106870","cvn:111106870"
"8178","XM_022441734.1",NA,NA,NA,"uncharacterized","LOC111106871","cvn:111106871"
"8179","XM_022441735.1",NA,NA,NA,"uncharacterized","LOC111106871","cvn:111106871"
"8180","XM_022441736.1",NA,NA,NA,"uncharacterized","LOC111106874","cvn:111106874"
"8181","XM_022441737.1",NA,NA,NA,"uncharacterized","LOC111106874","cvn:111106874"
"8182","XM_022441738.1",NA,NA,NA,"uncharacterized","LOC111106874","cvn:111106874"
"8183","XM_022441740.1",NA,NA,NA,"uncharacterized","LOC111106874","cvn:111106874"
"8184","XM_022441741.1",NA,NA,NA,"uncharacterized","LOC111106874","cvn:111106874"
"8185","XM_022441742.1",NA,NA,NA,"uncharacterized","LOC111106874","cvn:111106874"
"8186","XM_022441743.1",NA,NA,NA,"uncharacterized","LOC111106874","cvn:111106874"
"8187","XM_022441744.1",NA,NA,NA,"uncharacterized","LOC111106874","cvn:111106874"
"8188","XM_022441745.1",NA,NA,NA,"uncharacterized","LOC111106874","cvn:111106874"
"8189","XM_022441747.1",NA,NA,NA,"uncharacterized","LOC111106879","cvn:111106879"
"8190","XM_022441748.1",NA,NA,NA,"probable E3 ubiquitin-protein ligase MID2","LOC111106880","cvn:111106880"
"8191","XM_022441749.1",NA,NA,NA,"uncharacterized","LOC111106881","cvn:111106881"
"8192","XM_022441751.1",NA,NA,NA,"uncharacterized","LOC111106882","cvn:111106882"
"8193","XM_022441752.1",NA,NA,NA,"probable E3 ubiquitin-protein ligase MID2","LOC111106883","cvn:111106883"
"8194","XM_022441760.1",NA,NA,NA,"G2/mitotic-specific cyclin S13-7-like","LOC111106887","cvn:111106887"
"8195","XM_022441761.1",NA,NA,NA,"uncharacterized","LOC111106888","cvn:111106888"
"8196","XM_022441762.1",NA,NA,NA,"nascent polypeptide-associated complex subunit alpha-like","LOC111106889","cvn:111106889"
"8197","XM_022441764.1",NA,NA,NA,"nascent polypeptide-associated complex subunit alpha-like","LOC111106889","cvn:111106889"
"8198","XM_022441773.1",NA,NA,NA,"serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B-like","LOC111106893","cvn:111106893"
"8199","XM_022441775.1",NA,NA,NA,"uncharacterized","LOC111106895","cvn:111106895"
"8200","XM_022441777.1",NA,NA,NA,"uncharacterized","LOC111106896","cvn:111106896"
"8201","XM_022441788.1",NA,NA,NA,"potassium voltage-gated channel subfamily A member 1-like","LOC111106907","cvn:111106907"
"8202","XM_022441792.1",NA,NA,NA,"caveolin-1-like","LOC111106911","cvn:111106911"
"8203","XM_022441793.1",NA,NA,NA,"caveolin-1-like","LOC111106912","cvn:111106912"
"8204","XM_022441796.1",NA,NA,NA,"cerebellin-3-like","LOC111106913","cvn:111106913"
"8205","XM_022441797.1",NA,NA,NA,"uncharacterized","LOC111106917","cvn:111106917"
"8206","XM_022441798.1",NA,NA,NA,"uncharacterized","LOC111106917","cvn:111106917"
"8207","XM_022441799.1",NA,NA,NA,"tripartite motif-containing protein 2-like","LOC111106918","cvn:111106918"
"8208","XM_022441800.1",NA,NA,NA,"tripartite motif-containing protein 2-like","LOC111106919","cvn:111106919"
"8209","XM_022441801.1",NA,NA,NA,"plasma alpha-L-fucosidase-like","LOC111106920","cvn:111106920"
"8210","XM_022441802.1",NA,NA,NA,"plasma alpha-L-fucosidase-like","LOC111106921","cvn:111106921"
"8211","XM_022441803.1",NA,NA,NA,"alpha-L-fucosidase-like","LOC111106922","cvn:111106922"
"8212","XM_022441804.1",NA,NA,NA,"alpha-L-fucosidase-like","LOC111106924","cvn:111106924"
"8213","XM_022441805.1",NA,NA,NA,"plasma alpha-L-fucosidase-like","LOC111106925","cvn:111106925"
"8214","XM_022441806.1",NA,NA,NA,"plasma alpha-L-fucosidase-like","LOC111106926","cvn:111106926"
"8215","XM_022441807.1",NA,NA,NA,"acetylcholine receptor subunit beta-type unc-29-like","LOC111106923","cvn:111106923"
"8216","XM_022441808.1",NA,NA,NA,"plasma alpha-L-fucosidase-like","LOC111106926","cvn:111106926"
"8217","XM_022441809.1",NA,NA,NA,"alpha-L-fucosidase-like","LOC111106927","cvn:111106927"
"8218","XM_022441810.1",NA,NA,NA,"plasma alpha-L-fucosidase-like","LOC111106928","cvn:111106928"
"8219","XM_022441811.1",NA,NA,NA,"alpha-L-fucosidase-like","LOC111106929","cvn:111106929"
"8220","XM_022441812.1",NA,NA,NA,"plasma alpha-L-fucosidase-like","LOC111106930","cvn:111106930"
"8221","XM_022441814.1",NA,NA,NA,"adenosine receptor A3-like","LOC111106936","cvn:111106936"
"8222","XM_022441815.1",NA,NA,NA,"sulfotransferase family cytosolic 1B member 1-like","LOC111106902","cvn:111106902"
"8223","XM_022441816.1",NA,NA,NA,"uncharacterized","LOC111106934","cvn:111106934"
"8224","XM_022441817.1",NA,NA,NA,"uncharacterized","LOC111106937","cvn:111106937"
"8225","XM_022441819.1",NA,NA,NA,"leucine-rich repeat-containing protein 15-like","LOC111106939","cvn:111106939"
"8226","XM_022441820.1",NA,NA,NA,"toll-like receptor 13","LOC111106940","cvn:111106940"
"8227","XM_022441821.1",NA,NA,NA,"toll-like receptor 13","LOC111106940","cvn:111106940"
"8228","XM_022441822.1",NA,NA,NA,"achacin-like","LOC111106941","cvn:111106941"
"8229","XM_022441824.1",NA,NA,NA,"uncharacterized","LOC111106944","cvn:111106944"
"8230","XM_022441825.1",NA,NA,NA,"uncharacterized","LOC111106944","cvn:111106944"
"8231","XM_022441826.1",NA,NA,NA,"uncharacterized","LOC111106944","cvn:111106944"
"8232","XM_022441827.1",NA,NA,NA,"uncharacterized","LOC111106944","cvn:111106944"
"8233","XM_022441828.1",NA,NA,NA,"kynureninase-like","LOC111106943","cvn:111106943"
"8234","XM_022441829.1",NA,NA,NA,"uncharacterized","LOC111106944","cvn:111106944"
"8235","XM_022441830.1",NA,NA,NA,"protein SET-like","LOC111106945","cvn:111106945"
"8236","XM_022441831.1",NA,NA,NA,"uncharacterized","LOC111106946","cvn:111106946"
"8237","XM_022441832.1",NA,NA,NA,"uncharacterized","LOC111106946","cvn:111106946"
"8238","XM_022441833.1",NA,NA,NA,"uncharacterized","LOC111106947","cvn:111106947"
"8239","XM_022441835.1",NA,NA,NA,"serine/threonine-protein kinase PAK 1-like","LOC111106949","cvn:111106949"
"8240","XM_022441835.1",NA,NA,NA,"serine/threonine-protein kinase PAK 1-like","LOC111106949","cvn:111106949"
"8241","XM_022441836.1",NA,NA,NA,"serine/threonine-protein kinase PAK 1-like","LOC111106949","cvn:111106949"
"8242","XM_022441836.1",NA,NA,NA,"serine/threonine-protein kinase PAK 1-like","LOC111106949","cvn:111106949"
"8243","XM_022441837.1",NA,NA,NA,"serine/threonine-protein kinase PAK 1-like","LOC111106949","cvn:111106949"
"8244","XM_022441837.1",NA,NA,NA,"serine/threonine-protein kinase PAK 1-like","LOC111106949","cvn:111106949"
"8245","XM_022441838.1",NA,NA,NA,"serine/threonine-protein kinase PAK 1-like","LOC111106949","cvn:111106949"
"8246","XM_022441838.1",NA,NA,NA,"serine/threonine-protein kinase PAK 1-like","LOC111106949","cvn:111106949"
"8247","XM_022441839.1",NA,NA,NA,"serine/threonine-protein kinase PAK 1-like","LOC111106949","cvn:111106949"
"8248","XM_022441839.1",NA,NA,NA,"serine/threonine-protein kinase PAK 1-like","LOC111106949","cvn:111106949"
"8249","XM_022441840.1",NA,NA,NA,"serine/threonine-protein kinase PAK 3-like","LOC111106951","cvn:111106951"
"8250","XM_022441842.1",NA,NA,NA,"serine/threonine-protein kinase PAK 3-like","LOC111106951","cvn:111106951"
"8251","XM_022441848.1",NA,NA,NA,"mesoderm-specific transcript protein-like","LOC111106954","cvn:111106954"
"8252","XM_022441849.1",NA,NA,NA,"mitochondrial inner membrane protease subunit 2-like","LOC111106955","cvn:111106955"
"8253","XM_022441850.1",NA,NA,NA,"mitochondrial inner membrane protease subunit 2-like","LOC111106955","cvn:111106955"
"8254","XM_022441852.1",NA,NA,NA,"E3 ubiquitin-protein ligase Trim36-like","LOC111106958","cvn:111106958"
"8255","XM_022441853.1",NA,NA,NA,"E3 ubiquitin-protein ligase Trim36-like","LOC111106958","cvn:111106958"
"8256","XM_022441857.1",NA,NA,NA,"serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A-like","LOC111106961","cvn:111106961"
"8257","XM_022441871.1",NA,NA,NA,"uncharacterized","LOC111106969","cvn:111106969"
"8258","XM_022441874.1",NA,NA,NA,"thymidine kinase 2, mitochondrial-like","LOC111106974","cvn:111106974"
"8259","XM_022441875.1",NA,NA,NA,"thymidine kinase 2, mitochondrial-like","LOC111106974","cvn:111106974"
"8260","XM_022441881.1",NA,NA,NA,"galactoside 2-alpha-L-fucosyltransferase 2-like","LOC111106977","cvn:111106977"
"8261","XM_022441883.1",NA,NA,NA,"uncharacterized","LOC111106979","cvn:111106979"
"8262","XM_022441884.1",NA,NA,NA,"uncharacterized","LOC111106979","cvn:111106979"
"8263","XM_022441885.1",NA,NA,NA,"ankyrin repeat domain-containing protein 26-like","LOC111106980","cvn:111106980"
"8264","XM_022441886.1",NA,NA,NA,"ankyrin repeat domain-containing protein 26-like","LOC111106980","cvn:111106980"
"8265","XM_022441887.1",NA,NA,NA,"ankyrin repeat domain-containing protein 26-like","LOC111106980","cvn:111106980"
"8266","XM_022441888.1",NA,NA,NA,"ankyrin repeat domain-containing protein 26-like","LOC111106980","cvn:111106980"
"8267","XM_022441889.1",NA,NA,NA,"ankyrin repeat domain-containing protein 26-like","LOC111106980","cvn:111106980"
"8268","XM_022441890.1",NA,NA,NA,"ankyrin repeat domain-containing protein 26-like","LOC111106980","cvn:111106980"
"8269","XM_022441891.1",NA,NA,NA,"ankyrin repeat domain-containing protein 26-like","LOC111106980","cvn:111106980"
"8270","XM_022441893.1",NA,NA,NA,"ankyrin repeat domain-containing protein 26-like","LOC111106980","cvn:111106980"
"8271","XM_022441894.1",NA,NA,NA,"ankyrin repeat domain-containing protein 26-like","LOC111106980","cvn:111106980"
"8272","XM_022441895.1",NA,NA,NA,"ankyrin repeat domain-containing protein 26-like","LOC111106980","cvn:111106980"
"8273","XM_022441896.1",NA,NA,NA,"ankyrin repeat domain-containing protein 26-like","LOC111106980","cvn:111106980"
"8274","XM_022441897.1",NA,NA,NA,"ankyrin repeat domain-containing protein 26-like","LOC111106980","cvn:111106980"
"8275","XM_022441898.1",NA,NA,NA,"ankyrin repeat domain-containing protein 26-like","LOC111106980","cvn:111106980"
"8276","XM_022441899.1",NA,NA,NA,"ankyrin repeat domain-containing protein 26-like","LOC111106980","cvn:111106980"
"8277","XM_022441900.1",NA,NA,NA,"ankyrin repeat domain-containing protein 26-like","LOC111106980","cvn:111106980"
"8278","XM_022441901.1",NA,NA,NA,"ankyrin repeat domain-containing protein 26-like","LOC111106980","cvn:111106980"
"8279","XM_022441902.1",NA,NA,NA,"ankyrin repeat domain-containing protein 26-like","LOC111106980","cvn:111106980"
"8280","XM_022441903.1",NA,NA,NA,"ankyrin repeat domain-containing protein 26-like","LOC111106980","cvn:111106980"
"8281","XM_022441904.1",NA,NA,NA,"ankyrin repeat domain-containing protein 26-like","LOC111106980","cvn:111106980"
"8282","XM_022441905.1",NA,NA,NA,"NTR domain-containing protein-like","LOC111106984","cvn:111106984"
"8283","XM_022441906.1",NA,NA,NA,"contactin-2-like","LOC111106985","cvn:111106985"
"8284","XM_022441910.1",NA,NA,NA,"GTPase IMAP family member 7-like","LOC111106989","cvn:111106989"
"8285","XM_022441911.1",NA,NA,NA,"GTPase IMAP family member 7-like","LOC111106989","cvn:111106989"
"8286","XM_022441912.1",NA,NA,NA,"GTPase IMAP family member 7-like","LOC111106989","cvn:111106989"
"8287","XM_022441913.1",NA,NA,NA,"GTPase IMAP family member 7-like","LOC111106989","cvn:111106989"
"8288","XM_022441914.1",NA,NA,NA,"uncharacterized","LOC111106991","cvn:111106991"
"8289","XM_022441915.1",NA,NA,NA,"alpha-aminoadipic semialdehyde synthase, mitochondrial-like","LOC111106992","cvn:111106992"
"8290","XM_022441916.1",NA,NA,NA,"alpha-aminoadipic semialdehyde synthase, mitochondrial-like","LOC111106992","cvn:111106992"
"8291","XM_022441917.1",NA,NA,NA,"alpha-aminoadipic semialdehyde synthase, mitochondrial-like","LOC111106992","cvn:111106992"
"8292","XM_022441918.1",NA,NA,NA,"vesicle transport protein GOT1B-like","LOC111106990","cvn:111106990"
"8293","XM_022441920.1",NA,NA,NA,"uncharacterized","LOC111106994","cvn:111106994"
"8294","XM_022441921.1",NA,NA,NA,"uncharacterized","LOC111106994","cvn:111106994"
"8295","XM_022441923.1",NA,NA,NA,"uncharacterized","LOC111106998","cvn:111106998"
"8296","XM_022441924.1",NA,NA,NA,"vesicle transport protein GOT1B-like","LOC111106990","cvn:111106990"
"8297","XM_022441925.1",NA,NA,NA,"uncharacterized","LOC111106999","cvn:111106999"
"8298","XM_022441927.1",NA,NA,NA,"GTPase IMAP family member 4-like","LOC111107002","cvn:111107002"
"8299","XM_022441929.1",NA,NA,NA,"uncharacterized","LOC111107005","cvn:111107005"
"8300","XM_022441932.1",NA,NA,NA,"neuroglian-like","LOC111107009","cvn:111107009"
"8301","XM_022441934.1",NA,NA,NA,"neuroglian-like","LOC111107009","cvn:111107009"
"8302","XM_022441935.1",NA,NA,NA,"neuroglian-like","LOC111107009","cvn:111107009"
"8303","XM_022441936.1",NA,NA,NA,"neuroglian-like","LOC111107009","cvn:111107009"
"8304","XM_022441937.1",NA,NA,NA,"uncharacterized","LOC111107010","cvn:111107010"
"8305","XM_022441938.1",NA,NA,NA,"uncharacterized","LOC111107013","cvn:111107013"
"8306","XM_022441939.1",NA,NA,NA,"serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A-like","LOC111107014","cvn:111107014"
"8307","XM_022441940.1",NA,NA,NA,"serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A-like","LOC111107014","cvn:111107014"
"8308","XM_022441941.1",NA,NA,NA,"serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A-like","LOC111107014","cvn:111107014"
"8309","XM_022441942.1",NA,NA,NA,"serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A-like","LOC111107014","cvn:111107014"
"8310","XM_022441943.1",NA,NA,NA,"serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A-like","LOC111107014","cvn:111107014"
"8311","XM_022441946.1",NA,NA,NA,"uncharacterized","LOC111107018","cvn:111107018"
"8312","XM_022441947.1",NA,NA,NA,"uncharacterized","LOC111107018","cvn:111107018"
"8313","XM_022441948.1",NA,NA,NA,"uncharacterized","LOC111107018","cvn:111107018"
"8314","XM_022441949.1",NA,NA,NA,"NACHT, LRR and PYD domains-containing protein 14-like","LOC111107019","cvn:111107019"
"8315","XM_022441950.1",NA,NA,NA,"NACHT, LRR and PYD domains-containing protein 14-like","LOC111107019","cvn:111107019"
"8316","XM_022441951.1",NA,NA,NA,"NACHT, LRR and PYD domains-containing protein 14-like","LOC111107019","cvn:111107019"
"8317","XM_022441952.1",NA,NA,NA,"NACHT, LRR and PYD domains-containing protein 14-like","LOC111107019","cvn:111107019"
"8318","XM_022441953.1",NA,NA,NA,"NACHT, LRR and PYD domains-containing protein 14-like","LOC111107019","cvn:111107019"
"8319","XM_022441954.1",NA,NA,NA,"NACHT, LRR and PYD domains-containing protein 14-like","LOC111107019","cvn:111107019"
"8320","XM_022441955.1",NA,NA,NA,"uncharacterized","LOC111107021","cvn:111107021"
"8321","XM_022441956.1",NA,NA,NA,"translocon-associated protein subunit delta-like","LOC111107022","cvn:111107022"
"8322","XM_022441957.1",NA,NA,NA,"G-protein coupled receptor 84-like","LOC111107020","cvn:111107020"
"8323","XM_022441962.1",NA,NA,NA,"uncharacterized","LOC111107025","cvn:111107025"
"8324","XM_022441963.1",NA,NA,NA,"uncharacterized","LOC111107025","cvn:111107025"
"8325","XM_022441964.1",NA,NA,NA,"uncharacterized","LOC111107025","cvn:111107025"
"8326","XM_022441966.1",NA,NA,NA,"S-adenosylhomocysteine hydrolase-like protein 1","LOC111107029","cvn:111107029"
"8327","XM_022441967.1",NA,NA,NA,"S-adenosylhomocysteine hydrolase-like protein 1","LOC111107029","cvn:111107029"
"8328","XM_022441968.1",NA,NA,NA,"S-adenosylhomocysteine hydrolase-like protein 1","LOC111107029","cvn:111107029"
"8329","XM_022441969.1",NA,NA,NA,"S-adenosylhomocysteine hydrolase-like protein 1","LOC111107029","cvn:111107029"
"8330","XM_022441971.1",NA,NA,NA,"S-adenosylhomocysteine hydrolase-like protein 1","LOC111107029","cvn:111107029"
"8331","XM_022441972.1",NA,NA,NA,"S-adenosylhomocysteine hydrolase-like protein 1","LOC111107029","cvn:111107029"
